13823	Food	positive
13823	Interior	absence
13823	Price	positive
13823	Whole	neutral
13823	Service	neutral
1427	Food	neutral
1427	Interior	both
1427	Price	absence
1427	Whole	neutral
1427	Service	neutral
16714	Food	neutral
16714	Interior	neutral
16714	Price	absence
16714	Whole	both
16714	Service	both
797	Food	neutral
797	Interior	absence
797	Price	absence
797	Whole	absence
797	Service	neutral
34710	Food	negative
34710	Interior	absence
34710	Price	absence
34710	Whole	absence
34710	Service	neutral
33798	Food	neutral
33798	Interior	positive
33798	Price	absence
33798	Whole	positive
33798	Service	neutral
2073	Food	neutral
2073	Interior	positive
2073	Price	absence
2073	Whole	neutral
2073	Service	both
785	Food	both
785	Interior	positive
785	Price	absence
785	Whole	positive
785	Service	both
1434	Food	neutral
1434	Interior	neutral
1434	Price	absence
1434	Whole	both
1434	Service	both
22386	Food	neutral
22386	Interior	absence
22386	Price	neutral
22386	Whole	absence
22386	Service	both
32442	Food	neutral
32442	Interior	positive
32442	Price	absence
32442	Whole	both
32442	Service	both
15423	Food	neutral
15423	Interior	absence
15423	Price	absence
15423	Whole	negative
15423	Service	neutral
7193	Food	both
7193	Interior	absence
7193	Price	absence
7193	Whole	positive
7193	Service	both
13100	Food	neutral
13100	Interior	neutral
13100	Price	absence
13100	Whole	absence
13100	Service	neutral
35635	Food	both
35635	Interior	neutral
35635	Price	absence
35635	Whole	neutral
35635	Service	neutral
2107	Food	both
2107	Interior	absence
2107	Price	absence
2107	Whole	both
2107	Service	both
36085	Food	neutral
36085	Interior	neutral
36085	Price	absence
36085	Whole	both
36085	Service	positive
7824	Food	neutral
7824	Interior	absence
7824	Price	absence
7824	Whole	negative
7824	Service	absence
34045	Food	neutral
34045	Interior	neutral
34045	Price	absence
34045	Whole	neutral
34045	Service	positive
11421	Food	neutral
11421	Interior	positive
11421	Price	absence
11421	Whole	both
11421	Service	both
36126	Food	positive
36126	Interior	both
36126	Price	absence
36126	Whole	neutral
36126	Service	neutral
13186	Food	neutral
13186	Interior	neutral
13186	Price	absence
13186	Whole	neutral
13186	Service	neutral
9721	Food	neutral
9721	Interior	positive
9721	Price	neutral
9721	Whole	neutral
9721	Service	positive
28083	Food	both
28083	Interior	absence
28083	Price	absence
28083	Whole	neutral
28083	Service	positive
30744	Food	neutral
30744	Interior	both
30744	Price	absence
30744	Whole	absence
30744	Service	neutral
3976	Food	neutral
3976	Interior	positive
3976	Price	absence
3976	Whole	both
3976	Service	neutral
27040	Food	both
27040	Interior	absence
27040	Price	absence
27040	Whole	absence
27040	Service	positive
33591	Food	negative
33591	Interior	positive
33591	Price	neutral
33591	Whole	neutral
33591	Service	positive
28258	Food	neutral
28258	Interior	positive
28258	Price	absence
28258	Whole	both
28258	Service	positive
19503	Food	neutral
19503	Interior	absence
19503	Price	absence
19503	Whole	neutral
19503	Service	positive
37391	Food	both
37391	Interior	positive
37391	Price	absence
37391	Whole	positive
37391	Service	positive
14568	Food	positive
14568	Interior	positive
14568	Price	positive
14568	Whole	neutral
14568	Service	both
2495	Food	positive
2495	Interior	neutral
2495	Price	absence
2495	Whole	both
2495	Service	both
34402	Food	neutral
34402	Interior	both
34402	Price	absence
34402	Whole	positive
34402	Service	negative
33524	Food	neutral
33524	Interior	positive
33524	Price	absence
33524	Whole	neutral
33524	Service	neutral
27375	Food	both
27375	Interior	positive
27375	Price	absence
27375	Whole	negative
27375	Service	positive
31071	Food	neutral
31071	Interior	neutral
31071	Price	absence
31071	Whole	both
31071	Service	neutral
25960	Food	both
25960	Interior	absence
25960	Price	neutral
25960	Whole	both
25960	Service	positive
9837	Food	neutral
9837	Interior	neutral
9837	Price	absence
9837	Whole	neutral
9837	Service	both
27841	Food	neutral
27841	Interior	neutral
27841	Price	absence
27841	Whole	positive
27841	Service	neutral
3231	Food	absence
3231	Interior	positive
3231	Price	absence
3231	Whole	both
3231	Service	positive
18780	Food	neutral
18780	Interior	neutral
18780	Price	negative
18780	Whole	neutral
18780	Service	neutral
10798	Food	neutral
10798	Interior	positive
10798	Price	positive
10798	Whole	neutral
10798	Service	positive
12131	Food	neutral
12131	Interior	both
12131	Price	absence
12131	Whole	both
12131	Service	neutral
26152	Food	neutral
26152	Interior	positive
26152	Price	neutral
26152	Whole	neutral
26152	Service	neutral
28112	Food	neutral
28112	Interior	negative
28112	Price	absence
28112	Whole	both
28112	Service	neutral
7011	Food	neutral
7011	Interior	neutral
7011	Price	absence
7011	Whole	positive
7011	Service	both
33043	Food	neutral
33043	Interior	both
33043	Price	absence
33043	Whole	positive
33043	Service	both
20862	Food	neutral
20862	Interior	absence
20862	Price	positive
20862	Whole	positive
20862	Service	neutral
33252	Food	neutral
33252	Interior	neutral
33252	Price	absence
33252	Whole	neutral
33252	Service	both
34956	Food	neutral
34956	Interior	neutral
34956	Price	absence
34956	Whole	positive
34956	Service	both
9289	Food	neutral
9289	Interior	positive
9289	Price	absence
9289	Whole	neutral
9289	Service	positive
14539	Food	neutral
14539	Interior	neutral
14539	Price	absence
14539	Whole	both
14539	Service	neutral
15567	Food	neutral
15567	Interior	neutral
15567	Price	absence
15567	Whole	positive
15567	Service	neutral
36926	Food	neutral
36926	Interior	positive
36926	Price	neutral
36926	Whole	neutral
36926	Service	positive
36512	Food	neutral
36512	Interior	both
36512	Price	absence
36512	Whole	neutral
36512	Service	positive
11532	Food	both
11532	Interior	positive
11532	Price	both
11532	Whole	both
11532	Service	both
5155	Food	neutral
5155	Interior	absence
5155	Price	absence
5155	Whole	both
5155	Service	neutral
31004	Food	neutral
31004	Interior	neutral
31004	Price	absence
31004	Whole	absence
31004	Service	neutral
2606	Food	neutral
2606	Interior	positive
2606	Price	negative
2606	Whole	both
2606	Service	positive
3552	Food	both
3552	Interior	positive
3552	Price	absence
3552	Whole	absence
3552	Service	both
29395	Food	neutral
29395	Interior	positive
29395	Price	absence
29395	Whole	neutral
29395	Service	positive
7154	Food	both
7154	Interior	absence
7154	Price	absence
7154	Whole	positive
7154	Service	positive
35325	Food	positive
35325	Interior	neutral
35325	Price	absence
35325	Whole	positive
35325	Service	both
5974	Food	both
5974	Interior	positive
5974	Price	absence
5974	Whole	negative
5974	Service	neutral
19817	Food	neutral
19817	Interior	positive
19817	Price	both
19817	Whole	both
19817	Service	both
9216	Food	neutral
9216	Interior	both
9216	Price	absence
9216	Whole	neutral
9216	Service	neutral
8996	Food	neutral
8996	Interior	positive
8996	Price	neutral
8996	Whole	both
8996	Service	positive
38299	Food	neutral
38299	Interior	neutral
38299	Price	absence
38299	Whole	negative
38299	Service	positive
37819	Food	neutral
37819	Interior	both
37819	Price	absence
37819	Whole	neutral
37819	Service	positive
11770	Food	neutral
11770	Interior	absence
11770	Price	absence
11770	Whole	neutral
11770	Service	neutral
